Date,price,zone
11/26/2023 10:00:00 PM,64.01486,SCE
11/26/2023 10:00:00 PM,65.30430,SDGE
11/26/2023 10:00:00 PM,63.57953,VEA
11/26/2023 11:00:00 PM,61.36699,PGAE
11/26/2023 11:00:00 PM,59.85567,SCE
11/26/2023 11:00:00 PM,60.64443,SDGE
11/26/2023 11:00:00 PM,59.38223,VEA
11/27/2023 12:00:00 AM,61.34279,PGAE
11/27/2023 12:00:00 AM,59.33907,SCE
11/27/2023 12:00:00 AM,59.18845,SDGE
11/27/2023 12:00:00 AM,58.78476,VEA
11/27/2023 1:00:00 AM,58.39778,PGAE
11/27/2023 1:00:00 AM,56.38165,SCE
11/27/2023 1:00:00 AM,56.25750,SDGE
11/27/2023 1:00:00 AM,56.06228,VEA
11/27/2023 2:00:00 AM,58.48059,PGAE
11/27/2023 2:00:00 AM,56.27513,SCE
11/27/2023 2:00:00 AM,56.26506,SDGE
11/27/2023 2:00:00 AM,56.14431,VEA
11/27/2023 3:00:00 AM,58.01065,PGAE
11/27/2023 3:00:00 AM,55.75478,SCE
11/27/2023 3:00:00 AM,55.52166,SDGE
11/27/2023 3:00:00 AM,55.49322,VEA
11/27/2023 4:00:00 AM,61.52771,PGAE
11/27/2023 4:00:00 AM,59.31333,SCE
11/27/2023 4:00:00 AM,58.97414,SDGE
11/27/2023 4:00:00 AM,59.03749,VEA
11/27/2023 5:00:00 AM,69.34468,PGAE
11/27/2023 5:00:00 AM,66.95759,SCE
11/27/2023 5:00:00 AM,66.42693,SDGE
11/27/2023 5:00:00 AM,66.59702,VEA
11/27/2023 6:00:00 AM,79.49962,PGAE
11/27/2023 6:00:00 AM,74.55047,SCE
11/27/2023 6:00:00 AM,77.05680,SDGE
11/27/2023 6:00:00 AM,74.94374,VEA
11/27/2023 7:00:00 AM,73.54834,PGAE
11/27/2023 7:00:00 AM,60.28709,SCE
11/27/2023 7:00:00 AM,71.50000,SDGE
11/27/2023 7:00:00 AM,57.28036,VEA
11/27/2023 8:00:00 AM,69.51628,PGAE
11/27/2023 8:00:00 AM,36.17342,SCE
11/27/2023 8:00:00 AM,60.05253,SDGE
11/27/2023 8:00:00 AM,30.65028,VEA
11/27/2023 9:00:00 AM,60.31706,PGAE
11/27/2023 9:00:00 AM,31.04441,SCE
11/27/2023 9:00:00 AM,57.21000,SDGE
11/27/2023 9:00:00 AM,24.89464,VEA
11/27/2023 10:00:00 AM,58.68869,PGAE
11/27/2023 10:00:00 AM,29.40285,SCE
11/27/2023 10:00:00 AM,51.26000,SDGE
11/27/2023 10:00:00 AM,24.23445,VEA
11/27/2023 11:00:00 AM,52.62000,PGAE
11/27/2023 11:00:00 AM,25.52408,SCE
11/27/2023 11:00:00 AM,49.48636,SDGE
11/27/2023 11:00:00 AM,19.64375,VEA
11/27/2023 12:00:00 PM,51.86444,PGAE
11/27/2023 12:00:00 PM,28.59289,SCE
11/27/2023 12:00:00 PM,47.82000,SDGE
11/27/2023 12:00:00 PM,23.70761,VEA
11/27/2023 1:00:00 PM,51.02808,PGAE
11/27/2023 1:00:00 PM,28.96270,SCE
11/27/2023 1:00:00 PM,48.14003,SDGE
11/27/2023 1:00:00 PM,23.59988,VEA
